"module name","license","repository"
"align-text@0.1.4","MIT","https://github.com/jonschlinkert/align-text"
"ansi-regex@2.0.0","MIT","https://github.com/sindresorhus/ansi-regex"
"ansi-styles@2.2.0","MIT","https://github.com/chalk/ansi-styles"
"asn1@0.2.3","MIT","https://github.com/mcavage/node-asn1"
"assert-plus@0.2.0","MIT","https://github.com/mcavage/node-assert-plus"
"assert-plus@1.0.0","MIT","https://github.com/mcavage/node-assert-plus"
"async@0.2.10","MIT","https://github.com/caolan/async"
"async@0.9.2","MIT","https://github.com/caolan/async"
"async@1.5.2","MIT","https://github.com/caolan/async"
"aws-sign2@0.6.0","Apache-2.0","https://github.com/mikeal/aws-sign"
"aws4@1.3.2","MIT","https://github.com/mhart/aws4"
"batch@0.5.3","MIT","https://github.com/visionmedia/batch"
"bl@1.0.3","MIT","https://github.com/rvagg/bl"
"boolbase@1.0.0","ISC","https://github.com/fb55/boolbase"
"boom@2.10.1","BSD-3-Clause","https://github.com/hapijs/boom"
"camelcase@1.2.1","MIT","https://github.com/sindresorhus/camelcase"
"caseless@0.11.0","Apache-2.0","https://github.com/mikeal/caseless"
"center-align@0.1.3","MIT","https://github.com/jonschlinkert/center-align"
"chalk@1.1.1","MIT","https://github.com/chalk/chalk"
"cheerio@0.19.0","MIT","https://github.com/cheeriojs/cheerio"
"clean-css@1.1.7","MIT","https://github.com/GoalSmashers/clean-css"
"cli-color@0.3.3","MIT","https://github.com/medikoo/cli-color"
"cliui@2.1.0","ISC","https://github.com/bcoe/cliui"
"color-convert@1.0.0","MIT","https://github.com/qix-/color-convert"
"combined-stream@1.0.5","MIT","https://github.com/felixge/node-combined-stream"
"commander@2.0.0","UNKNOWN","https://github.com/visionmedia/commander.js"
"commander@2.9.0","MIT","https://github.com/tj/commander.js"
"core-util-is@1.0.2","MIT","https://github.com/isaacs/core-util-is"
"cross-spawn-async@2.1.9","MIT","https://github.com/IndigoUnited/node-cross-spawn-async"
